"STN
Code",Name of Monitoring Location,State Name,"Temperature
⁰C",pH,Conductivity (μmhos/cm),BOD (mg/L),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L),Arsenic (mg/L)
3093,"BORE WELL AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM",ANDHRA PRADESH,30.0,7.4,1481,2.1,16.75,4,75,980,0.8,0.001
3092,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM",ANDHRA PRADESH,31.0,8.1,1139,2.4,7.95,4,75,754,1.1,0.001
4360,"BORE WELL AT IDA,
RAMANAYYAPETA, KKAINADA",ANDHRA PRADESH,29.0,7.8,1280,2.0,3.48,7,93,868,0.4,0.009
3091,"BORE WELL AT KAPULUPPADA
DUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,26.0,7.1,4260,3.6,41.60,7,93,2832,1.1,0.001
4353,"BORE WELL AT MANGARAJU HOUSE, GAJAPATHINAGARAM
VILLAGE, PAYAKARAOPETA (M)",ANDHRA PRADESH,27.0,8.1,3940,2.7,46.25,4,93,2640,0.5,0.001
3087,"BORE WELL NEAR VILLAGE
SECRETARIAT, PATHAPADU (V)",ANDHRA PRADESH,27.0,7.8,2050,1.8,7.10,3,28,1218,1.0,0.001
4355,"BORE WELL, CHIPPADA VILLAGE, BHEEMUNIPATNAM (M)",ANDHRA PRADESH,27.0,8.0,1482,2.2,3.60,7,120,980,1.4,0.001
4354,"BORE WELL, SRI NOOKATATA
TEMPLE RAJAYYAPETA VILLAGE, NAKKAPALLI (M)",ANDHRA PRADESH,27.0,7.6,11420,2.5,15.40,9,150,7968,0.7,0.001
4394,"BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE GROWTH CENTRE, THUMAKUNTA,
HINDUPUR (M)",ANDHRA PRADESH,28.0,7.1,3239,1.0,7.90,4,21,1764,1.3,0.001
4395,"BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE,
ANANTAPURAM (M)",ANDHRA PRADESH,28.0,7.1,3780,1.0,11.40,6,33,2144,1.5,0.001
4377,"BOREWELL AT IMITATION JEWELLARY PARK,
MACHILIPTNAM",ANDHRA PRADESH,27.0,8.1,1920,1.8,2.80,3,21,1170,0.9,0.001
1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,29.0,7.3,2741,1.0,6.80,4,16,1361,0.5,0.001
1518,"BOREWELL AT NANDYAL
(KUNDU)",ANDHRA PRADESH,27.0,7.3,7770,1.0,6.20,2,14,4413,1.1,0.001
4364,"BOREWELL AT RAJIV GRUHA
KA;PA, NEAR AP PAPER MAILLS WORKERS COLONY,",ANDHRA PRADESH,28.0,7.6,1048,1.5,3.22,3,93,680,0.7,0.001
,"MALLAYAPETA, KATHERU,
RAJAMAHENDRAVARAM",,,,,,,,,,,
4350,"BOREWELL AT ZP HIGH SCHOOL, UDDANAM REGION,
AMALAPADU (V) VAJRAPUKOTTURU",ANDHRA PRADESH,24.0,7.1,1140,2.4,8.00,4,93,746,0.8,0.003
4384,"BOREWELL IN FRONT OF M/S BHAGEERADHA CHEMICALS & INDUSTRIES LTD, CHERUVUKOMMUPALEM (V)
ONGOLE (M)",ANDHRA PRADESH,23.0,7.3,10500,2.2,7.41,3,28,6600,1.7,0.001
1513,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR
VIJJAYAWADA",ANDHRA PRADESH,25.0,7.8,1970,1.8,0.70,3,39,1160,0.3,0.001
1523,"BOREWELL NEAR M/S ANDHRA
SUGARS LTD. , KOVVUR",ANDHRA PRADESH,26.0,7.6,1447,2.0,1.10,7,93,988,1.1,0.001
4392,"BOREWELL NEAR SRI GOVINDARAJA SWAMY TEMPLE, TIRUPATI TOWN",ANDHRA PRADESH,27.0,7.5,1414,1.0,2.60,3,12,784,1.1,0.001
1520,"BOREWELL NEAR SWARNAMUKHI RIVER AT
SRIKALAHASTI",ANDHRA PRADESH,29.0,7.3,1266,1.0,2.40,2,11,642,0.5,0.002
1517,"BOREWELL NEAR TUNGBHADRA
RIVER KURNOOL",ANDHRA PRADESH,26.0,7.9,5663,1.0,10.10,3,29,3370,1.8,0.001
1516,"BOREWELL OF NAVLOK
GARDENS, NELLORE",ANDHRA PRADESH,21.0,8.1,1100,1.4,1.18,3,21,658,0.5,0.001
1514,"BOREWELL VIJAY KUMAR
AUTONAGAR VIJAYAWADA",ANDHRA PRADESH,25.0,7.9,2080,1.8,0.60,3,23,1220,0.5,0.001
4376,"BOREWELL WATER , APIIC
OFFICE, IDA KONDAPALLI, IBRAHIMPATNAM (M)",ANDHRA PRADESH,26.0,7.6,3860,2.2,3.80,3,21,2348,1.0,0.001
4380,"BOREWELL WATER , SRI VENKATESWARA SWAMY TEMPLE, VENKATAPALEM (V),
TULLUR (M)",ANDHRA PRADESH,22.0,7.5,899,1.8,1.50,3,15,550,0.6,0.001
4382,"BOREWELL WATER POLICE
STATION, AUTONAGAR, PEDAKAKANI, GUNTUR",ANDHRA PRADESH,22.0,8.1,4580,2.2,3.86,3,28,2840,0.8,0.001
4393,"CLOSED MSW DUMPSITE,
UKKAYAPALLI (V), KADAPA (M)",ANDHRA PRADESH,25.0,7.4,3352,1.0,13.10,9,71,1785,1.2,0.004
3090,"HAND PUMP AT PITTAVANIPALEM,
VISHAKHAPATNAM",ANDHRA PRADESH,27.0,7.6,1983,2.2,18.80,4,75,1312,0.5,0.001
3089,"HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM",ANDHRA PRADESH,28.0,7.9,2180,2.2,13.10,4,93,1524,1.3,0.001
1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE -KAKINADA,ANDHRA PRADESH,30.0,7.7,1295,2.1,4.78,4,75,848,1.0,0.001
1521,"OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 , MINDI ,
VISAKHAPATNAM",ANDHRA PRADESH,27.0,7.5,2580,4.0,12.40,7,120,1812,0.8,0.001
1522,"OPEN WELL PEDDANUVVI -
VIZIANAGARAM",ANDHRA PRADESH,28.0,7.9,1190,2.1,2.87,9,75,792,0.8,0.001
26,"WELL AT GRAM PANCHAYAT
OFFICE, KAANURU, VIJAYWADA",ANDHRA PRADESH,25.0,8.1,2160,2.2,1.89,3,23,1314,0.7,0.001
1537,"GROUND WATER AT (JORHAT, ASSAM)",ASSAM,26.0,7.2,278,2.3,0.80,2,2,224,0.3,0.010
1539,"GROUND WATER AT BARPETA, ASSAM",ASSAM,31.0,7.5,329,2.1,0.80,2,2,180,0.3,0.010
1540,"GROUND WATER AT BONAIGAON, ASSAM",ASSAM,29.0,7.6,390,2.6,1.00,2,2,218,0.3,0.010
1533,"GROUND WATER AT DIGBOI,
TINSUKIA DISTT., ASSAM",ASSAM,26.0,7.1,332,2.5,1.40,2,2,218,0.3,0.010
1534,"GROUND WATER AT KARBI
ANGLONG DISTT., ASSAM",ASSAM,25.0,7.2,308,2.3,0.80,-,-,176,0.3,-
1541,"GROUND WATER AT NOONMATI
GUWAHATI, ASSAM",ASSAM,29.0,7.6,408,2.5,1.00,2,2,224,0.3,0.010
1535,"GROUND WATER AT SIBSAGAR GOVT ME SCHOOL WARD 6, RED
CROSS ROAD , ASSAM",ASSAM,26.0,7.3,288,2.6,0.80,2,2,166,0.3,0.010
1542,"GROUND WATER AT SIJUBARI
MAZAR, NATBOMA HATIGAON",ASSAM,28.0,7.8,354,2.6,1.00,2,2,200,0.4,0.010
1538,"GROUND WATER AT SILCHAR,
ASSAM",ASSAM,23.0,7.4,291,2.2,0.90,2,2,166,0.3,-
4328,"GROUND WATER BESIDE MSW
DUMPING SITE, DHEKIAJULI",ASSAM,26.0,7.7,315,2.0,0.90,-,-,178,0.3,-
4338,"GROUND WATER FORM TENGA PUKHURI KUKURACHOWA
WATER SUPPLY TENGA PUKHURI",ASSAM,28.0,7.8,266,2.2,1.00,2,2,150,0.3,-
4335,"GROUND WATER FROM
AMGURI, AMGURI TOWN",ASSAM,25.0,8.0,259,2.3,1.10,2,2,148,0.3,0.010
2254,"GROUND WATER FROM
BARPETA ROAD(RLY STATION), ASSAM",ASSAM,32.0,7.6,322,2.2,0.90,2,2,180,0.3,0.010
